"B73_S1","B73_S2","B73_S3","B73_S4","Mo17_S1","Mo17_S2","Mo17_S3","Mo17_S4","H_S1","H_S2","H_S3","H_S4","acs_S1","acs_S2","acs_S3","acs_S4","B73_S34","Mo17_S34","H_S34","acs_S34"
41582040.8,58672014.79,68646496.46,62540918.56,40992608.06,64358377.34,68096483.94,63247475.82,35793568.06,56567261.82,60272305.84,60856808.17,38479611.48,63841121.48,69326193.72,73582866.94,65593707.51,65671979.88,60564557.005,71454530.33
847618991.8,1343834286,1676085206,1313330111,600296260.6,1266610735,1354182632,1291806334,678373292.8,1407858336,1640837253,1778635089,720573675,1622211488,1884755115,2107648857,1494707658.5,1322994483,1709736171,1996201986
25974994.92,29601419.8,33450128.67,33583631.44,20436499.57,24360001.93,26944078.83,28327530.38,22444679.43,26697140.65,31112829.43,35396347.18,21739771.25,26855824.13,30632098.41,34163620.37,33516880.055,27635804.605,33254588.305,32397859.39
30800911.28,38288983.34,43771135.77,37782985.81,21057354.83,26784465.8,29234586.03,28506235.42,22757297.65,28676598.86,34252032.45,35058979.38,27962604.06,36841675.81,43963338.3,45339516.54,40777060.79,28870410.725,34655505.915,44651427.42
161720912.5,192327294,201377303.8,157681005,104900060.2,148759855.1,161650199.4,173585192.5,130767768.9,164410974.9,173998137.3,173974451,169734435.7,212701816.2,212122744.4,208185914.5,179529154.4,167617695.95,173986294.15,210154329.45
23688180.87,22097573.9,19928477.36,20897309.75,24654809.04,17600682.29,21329701.9,17670911.59,23326293.93,18032302.74,20847591.1,17843586.99,24899163.03,20768482.07,26765386.21,22343794.81,20412893.555,19500306.745,19345589.045,24554590.51
7450718.372,7063304.465,6369127.435,6007963.545,6751457.052,6604459.322,5852046.16,5577485.169,7374553.681,7096028.548,6268938.42,6017948.743,7454697.606,7176350.568,6214049.463,5957498.543,6188545.49,5714765.6645,6143443.5815,6085774.003
27532129.48,33698421.77,36456173.06,31473019.86,30794774.7,43544639.38,44952215.83,44922915.08,23508064.96,34350098.73,38370745.93,41112564.46,27855094.47,40842916.57,42203695.37,43427694,33964596.46,44937565.455,39741655.195,42815694.685
28725549.9,38601675.15,43555947.87,40084629.76,33616626.81,48372688.15,50179476.8,48936783.92,24994100.76,39564290.66,44780749.26,48029851,23878232.95,40164929.94,41791825.07,44449009.13,41820288.815,49558130.36,46405300.13,43120417.1
9661985.287,12068815.74,13149080.96,11536827,6215681.341,7972291.096,8939918.393,8802325.12,7479937.424,9684925.865,10529383.76,10885613.97,8827621.265,11451735.82,12767956.86,11828882.52,12342953.98,8871121.7565,10707498.865,12298419.69
34297990.54,39922131.37,41740301.31,37540068.7,30122775,38532180.79,38312960.15,37256299.79,29741876.06,38217810.56,39764730.47,38618239.2,31956356.13,40085978.46,40808223.08,43128769.43,39640185.005,37784629.97,39191484.835,41968496.255
47097696.18,37137752.95,28127473.99,23588660.35,53856845.79,45202541.57,32771170.02,27947183.66,54377436.58,43034458.39,30109772.7,28106928.28,50317358.36,42204214.99,28697473.04,22329676.31,25858067.17,30359176.84,29108350.49,25513574.675
14537392.78,16349432.52,16722158.88,13942678.16,12466900.25,14990810.18,14603062.59,13413522.42,12539113.7,15002384.61,14857029.24,14666428.64,13333220.55,17243161.08,16747026.56,16166611.54,15332418.52,14008292.505,14761728.94,16456819.05
20000068.12,23369187.95,22337754.95,19317762.76,17586096.8,19144622.15,18039011.76,15726284.25,17103165.36,19891258.47,19983941.44,18293178.74,16705334.31,23414656.88,21452878.71,18611037.4,20827758.855,16882648.005,19138560.09,20031958.055
22380918.33,18498645.98,15802048.93,13504966.01,10779210.25,9269077.499,8386687.012,8178354.665,19694879.79,16203961.73,13696182.33,12714678.03,20293022.31,17149783.1,13427528.07,12214610.24,14653507.47,8282520.8385,13205430.18,12821069.155
23025615.72,30541406.09,34270415.2,31898252.18,19964277.76,28384339.66,28489628.65,29670885.78,20871020.38,29753083.47,32461861.8,34976400.39,18168461.57,27923978.37,32276943.73,37449269.66,33084333.69,29080257.215,33719131.095,34863106.695
96076801.59,123114738.9,142882107.5,120497129.6,59793051.71,79907507.72,82618872.3,88443508.82,74592435.56,107681340.6,133088702.1,150106384.8,67078385.17,105427628.8,119286386.7,132635539,131689618.55,85531190.56,141597543.45,125960962.85
357407442.6,572173142.2,741758325.5,674477671.3,323863741,635732296.6,668008888.6,728958084.9,218103667.8,520280012.1,655509558,774909373,269662438.7,618888678.1,786433939,934445218.4,708117998.4,698483486.75,715209465.5,860439578.7
59208243.52,76793477.49,96077990.94,83659461.78,49366671.67,73549089.13,83917557,86764876.83,41514230.83,62102057.35,82244238.85,90603971.52,41554416.31,66058606.5,83665215.62,91192862.81,89868726.36,85341216.915,86424105.185,87429039.215
29773922.7,39396045.25,40111426.97,34773288.95,35182522.28,50211151.88,48454059.08,44256519.28,22879024.01,36510538.02,37993932.19,37550753.29,28950134.28,44409236.17,41490400.45,40448582.33,37442357.96,46355289.18,37772342.74,40969491.39
4939408.764,5686997.852,6111149.334,5968363.099,5706113.986,6889415.615,6827088.817,6404241.016,5058773.678,6450245.408,6441194.683,6347908.29,4796875.744,6109340.196,6343285.966,6494172.529,6039756.2165,6615664.9165,6394551.4865,6418729.2475
53070663.4,149952258.4,318054494,483509361,52104516.76,149632976.9,252810028.4,402665779.4,27879841.65,134001612.5,275324952.4,458501079.6,14855022.23,105459510.7,249397734.1,406598375,400781927.5,327737903.9,366913016,327998054.55
10318117.11,9511834.042,8872301.294,8311234.036,9522396.664,8299980.086,8062771.422,7850720.492,10091191.27,8548215.821,8301437.345,7692800.493,8704653.602,8446690.754,7913583.021,7283797.814,8591767.665,7956745.957,7997118.919,7598690.4175
2873212.615,2245792.417,1898778.886,1856385.691,3193710.819,2287616.111,1811331.485,1688193.969,2970506.083,2145935.738,1814271.112,1554204.959,2930497.194,2221086.912,2032919.701,1719443.427,1877582.2885,1749762.727,1684238.0355,1876181.564
7011437.658,7906436.494,9382076.488,8980114.241,6317425.4,7853928.373,9625243.641,11259039.87,7058511.315,8513625.669,10256512.8,11592285.15,5920595.832,7051463.746,8483621.427,9636385.315,9181095.3645,10442141.7555,10924398.975,9060003.371
34655596.07,43998055.05,47571974.55,42402492.7,25458081.81,37333426.24,39310711.54,40244062.95,26946442.27,36897754.1,44594131.67,45471151.47,28009728.49,45271521.26,51304343.94,53178283.53,44987233.625,39777387.245,45032641.57,52241313.735
281689285.9,411892100.2,484681815.8,423949949.1,345266706.2,596704426.7,618905609.7,630999275.9,209949873.3,468869906.3,559623187.6,615538461.8,218820564.6,498795938.7,590876586.1,637412896.4,454315882.45,624952442.8,587580824.7,614144741.25
222908738.7,284475275.9,289304975.3,244104218.1,259121386,328583683.9,322485228.7,297524458.8,196618615.2,309117864,302214035.2,303235703.3,250952757.5,341125206.1,324694158.3,348361329.1,266704596.7,310004843.75,302724869.25,336527743.7
30654100.71,29768778.71,29256684.93,31392782.2,26402492.47,27359831.86,25670584.28,29810598.65,27116057.83,26016990.79,28320335.45,33282231.37,29169080.82,32252161,33101887.33,38268343.82,30324733.565,27740591.465,30801283.41,35685115.575
52428622.78,68024532.64,81584637.39,79346729.51,52802297.29,74444187.43,76014453.03,82529193.53,49769698.04,77518128.34,84811852.86,95670395.02,35537799.2,65655426.69,74202071.67,85688645.77,80465683.45,79271823.28,90241123.94,79945358.72
