"B73_S1","B73_S2","B73_S3","B73_S4","Mo17_S1","Mo17_S2","Mo17_S3","Mo17_S4","H_S1","H_S2","H_S3","H_S4","acs_S1","acs_S2","acs_S3","acs_S4","Accession","Protein","Gene","B73_sum","Mo17_sum","H_sum","acs_sum"
41582040.8,107302161.3,177978038.5,124305372.5,70252331.22,247647459.6,242828617.5,293651213.8,34586653.86,196336394.3,210384129.6,291950679.4,25875965.88,130141966.8,170626783.4,234146152.2,"Zm00001d002325_T002","protein_coding","Zm00001d002325",451167613.1,854379622.12,733257857.16,560790868.28
847618991.8,2457667849,4345543841,2610354846,1028776019,4873847776,4828946822,5997717659,655499396,4886463016,5727441756,8532713838,484556337.4,3306924915,4638790739,6706695388,"Zm00001d046170_T001","Phosphoenolpyruvate carboxylase 1  ","Zm00001d046170",10261185527.8,16729288276,19802118006,15136967379.4
25974994.92,54136479.01,86725303.39,66750311.37,35023673.54,93735932,96081220.75,131521668.6,21687873.01,92661728.56,108601212,169808240.4,14619107.7,54746371.19,75392230.29,108711178.3,"Zm00001d017522_T001","Tripeptidyl-peptidase 2","Zm00001d017522",233587088.69,356362494.89,392759053.97,253468887.48
30800911.28,70024707.05,113484318.2,75096883.91,36087683.16,103065134.3,104249053.7,132351376.9,21989950.14,99532128.15,119558790.2,168189773,18803708.36,75102817.93,108203300.4,144273711,"Zm00001d037059_T004","Alpha-glucan water dikinase 1 chloroplastic","Zm00001d037059",289406820.44,375753248.06,409270641.49,346383537.69
161720912.5,351737272,522105855.4,313404353.6,179775675.9,572419659.6,576436438.4,805937347.1,126358443.7,570645585.9,607351028.5,834614255,114139469,433598787.4,522080036.7,662463058.7,"Zm00001d002000_T003"," lipoxygenase6","Zm00001d002000",1348968393.5,2134569121,2138969313.1,1732281351.8
23688180.87,40413089.89,51668059.06,41535172.35,42252930.02,67726445.33,76060636.38,82044135.43,22539760.58,62587388.75,72769776.23,85601715.56,16743669.5,42337148.81,65875413.71,71099614.41,"Zm00001d052282_T017","Nuclear-pore anchor","Zm00001d052282",157304502.17,268084147.16,243498641.12,196055846.43
7450718.372,12917705.22,16513074.48,11941335.49,11570514.66,25413589.91,20868098.27,25895659.21,7125893.011,24629237.69,21882106.55,28870130.87,5012979.695,14629196.62,15294120.77,18957201.19,"Zm00001d037252_T002","Putative LIM-type zinc finger domain family protein  ","Zm00001d037252",48822833.562,83747862.05,82507368.121,53893498.275
27532129.48,61629270.43,94518998.87,62555292.06,52775483.36,167557351.7,160297327.1,208572252.1,22715402.52,119223986.8,133935408.9,197230867.2,18731412.55,83259462.65,103872437.8,138190149.5,"Zm00001d032615_T002","Protein TIC110 chloroplastic","Zm00001d032615",246235690.84,589202414.26,473105665.42,344053462.5
28725549.9,70596572.65,112926406,79671596.23,57611518.45,186135415.2,178937475.6,227208212.8,24151331.05,137321657.1,156309913.5,230415429.3,16057135.77,81877367.34,102858735.8,141440050.2,"Zm00001d018145_T001","Presequence protease 2 chloroplastic/mitochondrial","Zm00001d018145",291920124.78,649892622.05,548198330.95,342233289.11
9661985.287,22072021.54,34091288.98,22930419.95,10652312.7,30676930.62,31879294.59,40868243.74,7227723.347,33614908.1,36753448.89,52221966.62,5936214.726,23344692.81,31424707.03,37640381.61,"Zm00001d015138_T004","protein_coding","Zm00001d015138",88755715.757,114076781.65,129818046.957,98345996.176
34297990.54,73011485.59,108219024.9,74614065.57,51623823.4,148269689.3,136622076.9,172976983.2,28739017.32,132648228.6,138801196.3,185264745.6,21489343.34,81716422.48,100437878.1,137238949.3,"Zm00001d022510_T016","4-alpha-glucanotransferase DPE2","Zm00001d022510",290142566.6,509492572.8,485453187.82,340882593.22
47097696.18,67919282.34,72925390.84,46884459.65,92298810.86,173936867.2,116860333.4,129755759.7,52543897.64,149366083.6,105099981.8,134838433.5,33836366.68,86034508.74,70630698.06,71054688.32,"Zm00001d038262_T001","Patellin-1","Zm00001d038262",234826829.01,512851771.16,441848396.54,261556261.8
14537392.78,29900616.44,43355118.01,27712252.93,21365529.71,57683802.34,52073780.58,62277536.08,12116310.54,52071001.91,51859357.42,70359812.81,8966046.043,35150680.26,41218059.75,51443357.9,"Zm00001d044903_T026","Kinesin-like protein KCA2","Zm00001d044903",115505380.16,193400648.71,186406482.68,136778143.953
20000068.12,42738677.95,57914532.3,38395688.9,30138708.88,73667440.18,64326201.66,73015440.15,16526468.1,69039542.48,69755154.82,87758559.15,11233654.68,47731452.49,52800181.6,59221702.77,"Zm00001d039598_T001","MAR-binding filament-like protein 1","Zm00001d039598",159048967.27,241147790.87,243079724.55,170986991.54
22380918.33,33831199.89,40969572.14,26842262.95,18473199.51,35666892.7,29906499.44,37971216.13,19030793.17,56241494.06,47807351,60996605.27,13646228.18,34960326.56,33048054.7,38867795.9,"Zm00001d014294_T005","Acetyl-CoA carboxylase 1","Zm00001d014294",124023953.31,122017807.78,184076243.5,120522405.34
23025615.72,55855570.49,88852039.59,63400477.32,34214389.02,109221360.1,101592573.3,137758723,20167275.78,103268443.2,113310091.2,167793613.7,12217547.95,56923834.43,79440551.06,119166358.7,"Zm00001d042842_T006"," starch phoshorylase2","Zm00001d042842",231133703.12,382787045.42,404539423.88,267748292.14
96076801.59,225158070.1,370446835.2,239498251.4,102472164.8,307479650,294614720.4,410633681,72077272.19,373745618.7,464554168.4,720111071.9,45107471.97,214917261.7,293589643.9,422056145.8,"Zm00001d009877_T001","Protein plastid transcriptionally active 16 chloroplastic","Zm00001d009877",931179958.29,1115200216.2,1630488131.19,975670523.37
357407442.6,1046417366,1923138102,1340581506,555031360,2446262575,2382085932,3384473864,210749485.6,1805813106,2288095790,3717502239,181336965.6,1261622423,1935584332,2973474170,"Zm00001d000316_T001","NADP-dependent malic enzyme%2C chloroplastic  ","Zm00001d000316",4667544416.6,8767853731,8022160620.6,6352017890.6
59208243.52,140443551.3,249098982.4,166280266.1,84603638.06,283012808.3,299245764.4,402839973.5,40114423.05,215546831.2,287078491.8,434657878.9,27943646.42,134662374,205918223.3,290182468.5,"Zm00001d033910_T003"," ADP glucose pyrophosphorylase large subunit leaf1","Zm00001d033910",615031043.32,1069702184.26,977397624.95,658706712.22
29773922.7,72049354.36,103995883.5,69114856.43,60295119.57,193209721.6,172784723.2,205478248.2,22107572.04,126722544.3,132620117.8,180143654.9,19467782.05,90529508.03,102116864.5,128710394.6,"Zm00001d007092_T001","elongation factor Ts family protein","Zm00001d007092",274934016.99,631767812.57,461593889.04,340824549.18
4939408.764,10400650.44,15844221.16,11862626.25,9779026.111,26510085.9,24345051.1,29734197.56,4888198.207,22387822.24,22483377.46,30453058.36,3225703.154,12454065.2,15612199.81,20664937.72,"Zm00001d019501_T004","Tetratricopeptide repeat (TPR)-like superfamily protein","Zm00001d019501",43046906.614,90368360.671,80212456.267,51956905.884
53070663.4,274239798,824611863.8,961015812,89295703.56,575779383.9,901507781.4,1869533836,26939768.38,465099295.5,961038410.5,2199584685,9989395.457,214982253.9,613821863.3,1293826262,"Zm00001d051194_T001","Arginine decarboxylase  ","Zm00001d051194",2112938137.2,3436116704.86,3652662159.38,2132619774.657
10318117.11,17395692.19,23002990.21,16519280.7,16319296.91,31937859.66,28751432.82,36450045.96,9750928.987,29669559.73,28976667.08,36904960.95,5853524,17218821.74,19477041.12,23177584.1,"Zm00001d051600_T010","Protein CROWDED NUCLEI 1","Zm00001d051600",67236080.21,113458635.35,105302116.747,65726970.96
2873212.615,4107210.809,4922914.538,3689722.828,5473318.579,8802616.925,6459113.962,7838099.112,2870344.377,7448215.401,6332820.651,7456042.835,1970639.882,4527748.707,5003454.431,5471394.664,"Zm00001d021469_T001","Glutathione S-transferase F9","Zm00001d021469",15593060.79,28573148.578,24107423.264,16973237.684
7011437.658,14459665.05,24324671.5,17848736.77,10826679.68,30221477.44,34323129.78,52274505.69,6820507.198,29549502.55,35800976.29,55612107.16,3981358.971,14374611.23,20880029.16,30663692.47,"Zm00001d043662_T001","Alpha-amylase 3 chloroplastic","Zm00001d043662",63644510.978,127645792.59,127783093.198,69899691.831
34655596.07,80465728.04,123338657.1,84278545.17,43629563.22,143656948.4,140180007.9,186848845.7,26037842.06,128066512.6,155658513.6,218140482.7,18835397.61,92287301.06,126271106,169217250.4,"Zm00001d003817_T001","Starch branching enzyme IIa  ","Zm00001d003817",322738526.38,514315365.22,527903350.96,406611055.07
281689285.9,753287798.5,1256622319,842636435.5,591711344.2,2296085499,2206986121,2929661666,202870626.9,1627376416,1953398610,2952946098,147147884,1016809909,1454275312,2028295233,"Zm00001d045451_T001"," transketolase 1","Zm00001d045451",3134235838.9,8024444630.2,6736591750.9,4646528338
222908738.7,520261869.7,750073711.7,485177810.4,444077175.2,1264371768,1149966024,1381374011,189988882.1,1072901277,1054896381,1454724183,168755470,695393572.5,799142679.1,1108511652,"Zm00001d053675_T001"," lipoxygenase10","Zm00001d053675",1978422130.5,4239788978.2,3772510723.1,2771803373.6
30654100.71,54442552.9,75853067.58,62395812.91,45248075.78,105279111,91540003.54,138407394.8,26201738.39,90301031.44,98853842.74,159666112.1,19615014.65,65746959.58,81470916,121772713.5,"Zm00001d007383_T001","Probable alpha-mannosidase ","Zm00001d007383",223345534.1,380474585.12,375022724.67,288605603.73
52428622.78,124406489.3,211522430.2,157708345.4,90491546.22,286457096.8,271063695,383174152.2,48091526.27,269053678.3,296040903.9,458963225.3,23897717.39,133840480.3,182627375.5,272667640.6,"Zm00001d018370_T003","Leucine aminopeptidase 2 chloroplastic","Zm00001d018370",546065887.68,1031186490.22,1072149333.77,613033213.79
67897387.14,131967286.3,187639227,125058018.3,97883050.03,238298038.8,207609261.5,282197270.6,63199131.57,238031244.5,235173907.4,345066069,42872330.8,155470775.5,173360868,233054172.3,"Zm00001d046336_T002"," vacuolar proton pump2","Zm00001d046336",512561918.74,825987620.93,881470352.47,604758146.6
44609447.12,97476371.73,166869896.2,118067178.6,57770610.75,191861067.2,183389187.3,241560558.9,29030209.33,148162458.8,177761720.9,274413419.1,25400696.79,117412977.1,155786920.7,231528583.2,"Zm00001d023437_T001"," glycine decarboxylase1","Zm00001d023437",427022893.65,674581424.15,629367808.13,530129177.79
60842559.96,139034537.7,197942338.9,160080389.5,122432425.6,357235351,368427055.8,507098974.2,46057437.59,243934431.9,309624743.3,461359324.3,31716006.55,159915100.9,193917876.1,261630560.3,"Zm00001d036371_T001","ATP-dependent zinc metalloprotease FTSH 5 chloroplastic","Zm00001d036371",557899826.06,1355193806.6,1060975937.09,647179543.85
43811987.63,113130568.8,185522886.4,138263519.4,56824512.92,184931990.3,188252919.5,228431768.9,34455601.25,192161623.8,233367571.3,312566447.1,25734632.65,152863278.2,224298550.6,299423383.1,"Zm00001d034935_T007","Expressed protein;  protein","Zm00001d034935",480728962.23,658441191.62,772551243.45,702319844.55
94447154.42,240556022,427176935.7,288596253.6,238247571.3,783387112.1,767068278.3,982831098,62973401.34,470583841,562592042.9,832527131.3,43166246.05,248261068.3,357895000.6,520382242.3,"Zm00001d028471_T001"," phosphoenolpyruvate carboxykinase1","Zm00001d028471",1050776365.72,2771534059.7,1928676416.54,1169704557.25
7639671.973,13886858.56,19674796.59,14941462.88,14428664.51,33440849.25,30805583.25,40396981.5,7934583.108,28316757.47,28866059.73,41463103.84,4913754.898,15876444.17,18928762.24,24805392.64,"Zm00001d039518_T001"," eukaryotic initiation factor3","Zm00001d039518",56142790.003,119072078.51,106580504.148,64524353.948
9130136.801,18674456.9,28622980.63,19129373.36,10533127.28,24338276.14,23181579.4,28049357.1,6281907.143,23621833.89,26123292.26,34523233.38,6647339.003,26057999.51,33092208.47,40306769.29,"Zm00001d034074_T024"," starch phosphorylase1","Zm00001d034074",75556947.691,86102339.92,90550266.673,106104316.273
24423347.31,54854527.98,90614244.66,65621118.13,37327918.36,121885923.5,126071246.1,180638299.8,17902288.25,95507380.5,124068337.9,197906221.2,11968710.64,61047188.8,77347787.04,120041677.6,"Zm00001d027769_T001","Glutathione reductase chloroplastic","Zm00001d027769",235513238.08,465923387.76,435384227.85,270405364.08
8694130.988,19823363.73,30261277.72,22352576.82,21129375.13,57827083.45,57170072.68,69280992.67,7752653.798,38218387.09,44543064.49,64514801.03,5368746.935,23256300.85,29192821.57,39613549.2,"Zm00001d040686_T001","Protein translocase subunit SECA1 chloroplastic","Zm00001d040686",81131349.258,205407523.93,155028906.408,97431418.555
304904683.2,809390643,1420926943,976446569,554388432.7,2087044237,2022740464,2970691869,205322990.9,1564627536,2000435761,3393245955,149876457.3,989833065.8,1404774508,2086299690,"Zm00001d038579_T001","Phosphoglycerate kinase  ","Zm00001d038579",3511668838.2,7634865002.7,7163632242.9,4630783721.1
176651881.8,1000240740,2233894526,1826660910,510621414.9,1998614507,2096456126,3721662613,215709788.9,1736422887,2061854340,3538150441,83915714.95,768021608.6,1604722814,3136452507,"Zm00001d004344_T001","Natterin-4","Zm00001d004344",5237448057.8,8327354660.9,7552137456.9,5593112644.55
