"B73_S1","B73_S2","B73_S3","B73_S4","Mo17_S1","Mo17_S2","Mo17_S3","Mo17_S4","H_S1","H_S2","H_S3","H_S4","acs_S1","acs_S2","acs_S3","acs_S4","Accession","Protein","B73_S34","Mo17_S34","H_S34","acs_S34","S1_HMP","S2_HMP","S34_HMP","S1_acs_B73","S2_acs_B73","S34_acs_B73","S1_B73_Mo17","S2_B73_Mo17","S34_B73_Mo17","cor_HMP_acs","cor_HMP_B73Mo17"
41582040.8,107302161.3,177978038.5,124305372.5,70252331.22,247647459.6,242828617.5,293651213.8,34586653.86,196336394.3,210384129.6,291950679.4,25875965.88,130141966.8,170626783.4,234146152.2,"Zm00001d002325_T002","protein_coding",302283411,536479831.3,502334809,404772935.6,-0.693076315335018,0.145713352762056,0.260385610591772,-0.684347850260051,0.278407126647135,0.421211022568073,-0.756585534044075,-1.20660868627627,-0.827622127047553,0.999834819442199,-0.518465144242112
847618991.8,2457667849,4345543841,2610354846,1028776019,4873847776,4828946822,5997717659,655499396,4886463016,5727441756,8532713838,484556337.4,3306924915,4638790739,6706695388,"Zm00001d046170_T001","Phosphoenolpyruvate carboxylase 1  ",6955898687,10826664481,14260155594,11345486127,-0.517297213718038,0.414679098660004,0.681526434904476,-0.806751501487505,0.428200338656451,0.705809601386274,-0.279441100331978,-0.98777124203385,-0.638280015566118,0.999478281362339,-0.737465022718638
25974994.92,54136479.01,86725303.39,66750311.37,35023673.54,93735932,96081220.75,131521668.6,21687873.01,92661728.56,108601212,169808240.4,14619107.7,54746371.19,75392230.29,108711178.3,"Zm00001d017522_T001","Tripeptidyl-peptidase 2",153475614.76,227602889.35,278409452.4,184103408.59,-0.491889179593243,0.325692590824443,0.54711996273151,-0.829268210138206,0.0161622812841354,0.262506889077734,-0.43120694517722,-0.792001126396631,-0.568509423645941,0.999796342354442,-0.622719876608555
30800911.28,70024707.05,113484318.2,75096883.91,36087683.16,103065134.3,104249053.7,132351376.9,21989950.14,99532128.15,119558790.2,168189773,18803708.36,75102817.93,108203300.4,144273711,"Zm00001d037059_T004","Alpha-glucan water dikinase 1 chloroplastic",188581202.11,236600430.6,287748563.2,252477011.4,-0.604915896555501,0.201713140647937,0.436729448963325,-0.711955825284657,0.101002997297384,0.420966158762022,-0.228533489431513,-0.55762042091509,-0.327266824854485,0.996686464244622,-0.530172299883535
161720912.5,351737272,522105855.4,313404353.6,179775675.9,572419659.6,576436438.4,805937347.1,126358443.7,570645585.9,607351028.5,834614255,114139469,433598787.4,522080036.7,662463058.7,"Zm00001d002000_T003"," lipoxygenase6",835510209,1382373785.5,1441965283.5,1184543095.4,-0.434349092574279,0.304457143619025,0.378852523018503,-0.502708492628387,0.30186250316463,0.503601325249913,-0.152691584737458,-0.702575002990787,-0.726418402851495,0.98932558914182,-0.997051601910976
23688180.87,40413089.89,51668059.06,41535172.35,42252930.02,67726445.33,76060636.38,82044135.43,22539760.58,62587388.75,72769776.23,85601715.56,16743669.5,42337148.81,65875413.71,71099614.41,"Zm00001d052282_T017","Nuclear-pore anchor",93203231.41,158104771.81,158371491.79,136975028.12,-0.548706000746765,0.211049830120136,0.333856045069466,-0.500551671387275,0.0671014536844076,0.555461019887231,-0.834883976928435,-0.744896616068041,-0.762429030855847,0.914280384008768,0.936660248888953
7450718.372,12917705.22,16513074.48,11941335.49,11570514.66,25413589.91,20868098.27,25895659.21,7125893.011,24629237.69,21882106.55,28870130.87,5012979.695,14629196.62,15294120.77,18957201.19,"Zm00001d037252_T002","Putative LIM-type zinc finger domain family protein  ",28454409.97,46763757.48,50752237.42,34251321.96,-0.416468042509469,0.361849230612308,0.4323902668877,-0.571711141333801,0.17950074067044,0.267507407147066,-0.635001600421804,-0.976250380468894,-0.716738591357321,0.99966074095145,-0.629247287193382
27532129.48,61629270.43,94518998.87,62555292.06,52775483.36,167557351.7,160297327.1,208572252.1,22715402.52,119223986.8,133935408.9,197230867.2,18731412.55,83259462.65,103872437.8,138190149.5,"Zm00001d032615_T002","Protein TIC110 chloroplastic",157074290.93,368869579.2,331166276.1,242062587.3,-0.821865885563841,0.0571516874547438,0.332646925096958,-0.555656501478627,0.43399853494767,0.623933049125771,-0.938751687098544,-1.44296736958627,-1.23166374694988,0.994799472871993,-0.767173604423513
28725549.9,70596572.65,112926406,79671596.23,57611518.45,186135415.2,178937475.6,227208212.8,24151331.05,137321657.1,156309913.5,230415429.3,16057135.77,81877367.34,102858735.8,141440050.2,"Zm00001d018145_T001","Presequence protease 2 chloroplastic/mitochondrial",192598002.23,406145688.4,386725342.8,244298786,-0.837877403304218,0.0972961103852806,0.369370761623504,-0.839119939362347,0.21386657045505,0.343053955851883,-1.00402277202261,-1.39868252722498,-1.07640459041167,0.987626205251272,-0.406122721875548
9661985.287,22072021.54,34091288.98,22930419.95,10652312.7,30676930.62,31879294.59,40868243.74,7227723.347,33614908.1,36753448.89,52221966.62,5936214.726,23344692.81,31424707.03,37640381.61,"Zm00001d015138_T004","protein_coding",57021708.93,72747538.33,88975415.51,69065088.64,-0.490882318533378,0.349958769924185,0.455530136459074,-0.702776377506972,0.0808758347297953,0.276445357070508,-0.140775123791203,-0.474935371498256,-0.351387152937111,0.993496947330659,-0.88674885141674
