"","B73_S1","Mo17_S1","H_S1","acs_S1","S1_HMP","S1_acs_B73","S1_B73_Mo17","HP","LP","Category","B73_S2","Mo17_S2","H_S2","acs_S2","S2_HMP","S2_acs_B73","S2_B73_Mo17","HP.1","LP.1","Category.1","B73_S34","Mo17_S34","H_S34","acs_S34","S34_HMP","S34_acs_B73","S34_B73_Mo17","HP.2","LP.2","Category.2"
"Zm00001d002325_T002",41582040.8,40992608.06,35793568.06,38479611.48,-0.205998564517108,-0.1118663331775,0.0205967847587405,"B73","Mo17","BLP",58672014.79,64358377.34,56567261.82,63841121.48,-0.120975504684522,0.121813460387096,-0.13345541718816,"Mo17","B73","BLP",65593707.51,65671979.88,60564557.005,71454530.33,-0.115944181734917,0.123468061500944,-0.00172052842851199,"Mo17","B73","BLP"
"Zm00001d046170_T001",847618991.8,600296260.6,678373292.8,720573675,-0.0938258848490054,-0.234269966995435,0.497741232106634,"B73","Mo17","Additive",1343834286,1266610735,1407858336,1622211488,0.109206397703355,0.271606672086493,0.0853820321878729,"B73","Mo17","AHP",1494707658.5,1322994483,1709736171,1996201986,0.279254607520721,0.417394364006885,0.176056297902681,"B73","Mo17","AHP"
"Zm00001d017522_T001",25974994.92,20436499.57,22444679.43,21739771.25,-0.0481086634157984,-0.256786706843748,0.345975359032544,"B73","Mo17","Additive",29601419.8,24360001.93,26697140.65,26855824.13,-0.0152431268104754,-0.140431380375366,0.281152127270463,"B73","Mo17","Additive",33516880.055,27635804.605,33254588.305,32397859.39,0.121137574530286,-0.0489893672085081,0.278349244258964,"B73","Mo17","Additive"
"Zm00001d037059_T004",30800911.28,21057354.83,22757297.65,27962604.06,-0.188244717448674,-0.139474315187723,0.548648815169045,"B73","Mo17","Additive",38288983.34,26784465.8,28676598.86,36841675.81,-0.182195098319591,-0.0555906673417003,0.515532831183781,"B73","Mo17","Additive",40777060.79,28870410.725,34655505.915,44651427.42,-0.00698639846845281,0.130948506598406,0.498166157436748,"B73","Mo17","Additive"
"Zm00001d002000_T003",161720912.5,104900060.2,130767768.9,169734435.7,-0.0277832737435856,0.0697730392951053,0.624490743211943,"B73","Mo17","Additive",192327294,148759855.1,164410974.9,212701816.2,-0.0528337943418762,0.145268835797686,0.370578268512373,"B73","Mo17","Additive",179529154.4,167617695.95,173986294.15,210154329.45,0.00342757960619012,0.227231030543043,0.0990436805042311,"B73","Mo17","Additive"
"Zm00001d052282_T017",23688180.87,24654809.04,23326293.93,24899163.03,-0.0513495925926799,0.0719298365040506,-0.0577016674107531,"Mo17","B73","BLP",22097573.9,17600682.29,18032302.74,20768482.07,-0.138491994164365,-0.0894922082224765,0.328256628358935,"B73","Mo17","Additive",20412893.555,19500306.745,19345589.045,24554590.51,-0.0448613035177839,0.26651206249382,0.0659838826913475,"B73","Mo17","BLP"
"Zm00001d037252_T002",7450718.372,6751457.052,7374553.681,7454697.606,0.0545157110021154,0.000770300044385713,0.142180643783805,"B73","Mo17","Additive",7063304.465,6604459.322,7096028.548,7176350.568,0.0543064991314098,0.0229070828201924,0.0969028262528942,"B73","Mo17","AHP",6188545.49,5714765.6645,6143443.5815,6085774.003,0.0457565154932957,-0.0241596089551899,0.11490602734433,"B73","Mo17","Additive"
"Zm00001d032615_T002",27532129.48,30794774.7,23508064.96,27855094.47,-0.311005712133103,0.0168250089872969,-0.161569373307969,"Mo17","B73","BLP",33698421.77,43544639.38,34350098.73,40842916.57,-0.16909109388264,0.277404866055816,-0.369814098997817,"Mo17","B73","Additive",33964596.46,44937565.455,39741655.195,42815694.685,0.0105871299090187,0.334108020048935,-0.403890253602375,"Mo17","B73","Additive"
"Zm00001d018145_T001",28725549.9,33616626.81,24994100.76,23878232.95,-0.318620905757905,-0.266638433539622,-0.226840456636443,"Mo17","B73","BLP",38601675.15,48372688.15,39564290.66,40164929.94,-0.136391320891176,0.0572729042768586,-0.325529257216735,"Mo17","B73","Additive",41820288.815,49558130.36,46405300.13,43120417.1,0.0224361061010686,0.0441681078652984,-0.244918735746903,"Mo17","B73","Additive"
"Zm00001d015138_T004",9661985.287,6215681.341,7479937.424,8827621.265,-0.0859008045811629,-0.130294921458818,0.636407112803507,"B73","Mo17","Additive",12068815.74,7972291.096,9684925.865,11451735.82,-0.0491492776933951,-0.0757178233822805,0.598217823644639,"B73","Mo17","Additive",12342953.98,8871121.7565,10707498.865,12298419.69,0.0135997002304066,-0.00521476360418857,0.476499258622717,"B73","Mo17","Additive"
