"","cluster","Accession","Protein","SL_GOIs","Gene"
"Zm00001d022560_T002",2,"Zm00001d022560_T002"," LON protease2",NA,"Zm00001d022560"
"Zm00001d012557_T001",2,"Zm00001d012557_T001","DNA-directed RNA polymerases II and IV subunit 5A","Other","Zm00001d012557"
"Zm00001d032319_T009",2,"Zm00001d032319_T009","splicing factor PWI domain-containing protein / RNA recognition motif (RRM)-containing protein",NA,"Zm00001d032319"
"Zm00001d009488_T001",2,"Zm00001d009488_T001","ATP synthase subunit beta  ","Other","Zm00001d009488"
"Zm00001d021170_T005",2,"Zm00001d021170_T005","Inositol 134-trisphosphate 5/6-kinase 4",NA,"Zm00001d021170"
"Zm00001d033523_T001",2,"Zm00001d033523_T001","GATA transcription factor 24","Other","Zm00001d033523"
"Zm00001d036031_T001",2,"Zm00001d036031_T001","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform",NA,"Zm00001d036031"
"Zm00001d019328_T003",2,"Zm00001d019328_T003","BTB/POZ domain-containing protein ",NA,"Zm00001d019328"
"Zm00001d031490_T003",2,"Zm00001d031490_T003","Chaperone protein dnaJ 10  ","Other","Zm00001d031490"
"Zm00001d009850_T005",2,"Zm00001d009850_T005","Importin subunit alpha  ","Other","Zm00001d009850"
"Zm00001d007113_T001",2,"Zm00001d007113_T001","Xylose isomerase  ","Other","Zm00001d007113"
"Zm00001d031637_T001",2,"Zm00001d031637_T001","Transmembrane emp24 domain-containing protein p24beta2","Other","Zm00001d031637"
"Zm00001d000116_T001",2,"Zm00001d000116_T001","Aldehyde dehydrogenase  ","Other","Zm00001d000116"
"Zm00001d044498_T012",2,"Zm00001d044498_T012","Zinc protease PQQL-like",NA,"Zm00001d044498"
"Zm00001d038529_T001",2,"Zm00001d038529_T001"," ferric-chelate reductase (NADH)2","Other","Zm00001d038529"
"Zm00001d033217_T002",2,"Zm00001d033217_T002","Serine/threonine-protein phosphatase BSL3","Other","Zm00001d033217"
"Zm00001d026396_T004",2,"Zm00001d026396_T004","Formation of crista junctions protein 1","Other","Zm00001d026396"
"Zm00001d039711_T001",2,"Zm00001d039711_T001","Protein NETWORKED 4A","Other","Zm00001d039711"
"Zm00001d035975_T002",2,"Zm00001d035975_T002","Chaperone protein dnaJ GFA2 mitochondrial",NA,"Zm00001d035975"
"Zm00001d040278_T001",2,"Zm00001d040278_T001","GTP-binding protein SAR1B","Other","Zm00001d040278"
"Zm00001d018454_T001",2,"Zm00001d018454_T001","Glutathione reductase cytosolic",NA,"Zm00001d018454"
"Zm00001d007912_T009",2,"Zm00001d007912_T009","Calcium-dependent protein kinase 20",NA,"Zm00001d007912"
"Zm00001d017704_T001",2,"Zm00001d017704_T001","Target of Myb protein 1","Other","Zm00001d017704"
"Zm00001d051634_T001",2,"Zm00001d051634_T001","Ribose-phosphate pyrophosphokinase 4","Other","Zm00001d051634"
"Zm00001d017957_T002",2,"Zm00001d017957_T002","Peptidase family M48 family protein","Other","Zm00001d017957"
"Zm00001d002659_T001",2,"Zm00001d002659_T001"," nucleosome/chromatin assembly factor D","Other","Zm00001d002659"
"Zm00001d032232_T006",2,"Zm00001d032232_T006","Threonine endopeptidase  ",NA,"Zm00001d032232"
"Zm00001d007446_T002",2,"Zm00001d007446_T002","14-3-3-like protein  ","Other","Zm00001d007446"
"Zm00001d021668_T001",2,"Zm00001d021668_T001","Protein translation factor SUI1 homolog  ","Other","Zm00001d021668"
"Zm00001d013526_T002",2,"Zm00001d013526_T002"," succinate dehydrogenase10","Other","Zm00001d013526"
"Zm00001d007945_T008",2,"Zm00001d007945_T008","Urease  ","Other","Zm00001d007945"
"Zm00001d050225_T001",2,"Zm00001d050225_T001","Thioredoxin domain-containing protein 9 homolog","Other","Zm00001d050225"
"Zm00001d017617_T001",2,"Zm00001d017617_T001","Mitochondrial import inner membrane translocase subunit TIM13","Other","Zm00001d017617"
"Zm00001d015890_T001",2,"Zm00001d015890_T001","SNARE-interacting protein KEULE","Other","Zm00001d015890"
"Zm00001d037712_T001",2,"Zm00001d037712_T001","MAR-binding filament-like protein 1","Other","Zm00001d037712"
